filename,target_color,cursor_x,cursor_y,target_x,target_y,dx,dy,distance
sample_00000.png,red,151,325,424,81,273,-244,366.1488768247146
sample_00001.png,red,570,194,312,239,-258,45,261.895017134729
sample_00002.png,red,422,188,81,242,-341,54,345.2491853719571
sample_00003.png,red,269,64,464,209,195,145,243.00205760445732
sample_00004.png,red,29,300,110,92,81,-208,223.21514285549716
sample_00005.png,red,477,115,107,108,-370,-7,370.0662102921584
sample_00006.png,red,45,46,117,191,72,145,161.8919392681427
sample_00007.png,red,163,196,435,184,272,-12,272.26457720386617
sample_00008.png,red,488,158,379,253,-109,95,144.58907289280197
sample_00009.png,red,447,298,299,117,-148,-181,233.80547470065795
sample_00010.png,red,166,255,251,103,85,-152,174.15223225672418
sample_00011.png,red,181,190,155,269,-26,79,83.16850365372699
sample_00012.png,red,546,85,329,264,-217,179,281.30055101261354
sample_00013.png,red,95,108,184,181,89,73,115.10864433221339
sample_00014.png,red,367,213,283,250,-84,37,91.7877987534291
sample_00015.png,red,159,176,135,240,-24,64,68.35202996254024
sample_00016.png,red,534,254,403,149,-131,-105,167.88686666919483
sample_00017.png,red,345,266,177,239,-168,-27,170.1558109498468
sample_00018.png,red,487,308,342,85,-145,-223,265.9962405749375
sample_00019.png,red,347,261,222,248,-125,-13,125.67418191498204
sample_00020.png,red,568,202,86,261,-482,59,485.5975700103945
sample_00021.png,red,138,277,358,245,220,-32,222.31509170544405
sample_00022.png,red,548,78,94,182,-454,104,465.7595946408404
sample_00023.png,red,146,176,279,130,133,-46,140.73023839957068
sample_00024.png,red,445,318,108,84,-337,-234,410.27429848821873
sample_00025.png,red,334,216,169,217,-165,1,165.00303027520434
sample_00026.png,red,558,263,431,145,-127,-118,173.35801106380978
sample_00027.png,red,543,73,367,235,-176,162,239.20702330826325
sample_00028.png,red,555,28,218,101,-337,73,344.81589290518497
sample_00029.png,red,513,143,94,222,-419,79,426.3824574252557
sample_00030.png,red,501,301,86,130,-415,-171,448.84964074843595
sample_00031.png,red,459,306,96,110,-363,-196,412.53484701295235
sample_00032.png,red,374,247,479,98,105,-149,182.28000438885226
sample_00033.png,red,183,89,272,263,89,174,195.4405280385826
sample_00034.png,red,569,94,374,197,-195,103,220.53117693423758
sample_00035.png,red,565,192,101,80,-464,-112,477.32588448564155
sample_00036.png,red,111,27,277,84,166,57,175.5135322418189
sample_00037.png,red,131,229,424,262,293,33,294.8525055006316
sample_00038.png,red,88,330,517,223,429,-107,442.1425109622462
