filename,target_color,cursor_x,cursor_y,target_x,target_y,dx,dy,distance
sample_00000.png,red,533,71,516,207,-17,136,137.05838172107534
sample_00001.png,red,42,268,375,121,333,-147,364.00274724238005
sample_00002.png,red,27,252,518,94,491,-158,515.7955021129983
sample_00003.png,red,577,322,346,165,-231,-157,279.3027031734566
sample_00004.png,red,36,38,190,187,154,149,214.28252378577213
sample_00005.png,red,278,292,318,177,40,-115,121.75795661885921
sample_00006.png,red,385,52,385,146,0,94,94.0
sample_00007.png,red,565,149,388,125,-177,-24,178.61970775925036
sample_00008.png,red,185,139,493,181,308,42,310.85044635644323
sample_00009.png,red,331,148,279,214,-52,66,84.02380615040002
sample_00010.png,red,189,182,123,263,-66,81,104.48444860360799
sample_00011.png,red,325,125,176,101,-149,-24,150.9205088780183
sample_00012.png,red,90,220,424,190,334,-30,335.3445988829998
sample_00013.png,red,377,152,344,186,-33,34,47.38143096192854
sample_00014.png,red,516,145,494,103,-22,-42,47.41307836451879
sample_00015.png,red,389,206,460,192,71,-14,72.3671196055225
sample_00016.png,red,403,301,356,229,-47,-72,85.98255637046388
sample_00017.png,red,480,29,502,237,22,208,209.16022566444127
sample_00018.png,red,295,220,190,144,-105,-76,129.61867149450345
sample_00019.png,red,139,26,409,258,270,232,355.9831456684431
sample_00020.png,red,242,69,405,165,163,96,189.16923639957952
sample_00021.png,red,181,72,313,249,132,177,220.8008152158864
sample_00022.png,red,285,48,379,91,94,43,103.36827366266692
sample_00023.png,red,396,215,448,141,52,-74,90.44335243676011
sample_00024.png,red,42,63,201,211,159,148,217.22108553268947
sample_00025.png,red,211,301,204,120,-7,-181,181.13530854032848
sample_00026.png,red,212,325,358,253,146,-72,162.78820596099706
sample_00027.png,red,210,182,514,155,304,-27,305.19665791092797
sample_00028.png,red,385,31,176,108,-209,77,222.73302404448245
sample_00029.png,red,409,85,213,222,-196,137,239.13385373049965
sample_00030.png,red,358,277,257,148,-101,-129,163.835283135227
sample_00031.png,red,127,325,335,205,208,-120,240.13329631685815
sample_00032.png,red,35,42,169,169,134,127,184.6212338816963
sample_00033.png,red,395,310,373,248,-22,-62,65.7875368135941
sample_00034.png,red,361,260,201,269,-160,9,160.25292509030842
sample_00035.png,red,576,134,134,86,-442,-48,444.5986954546763
sample_00036.png,red,133,105,205,253,72,148,164.58432489152787
sample_00037.png,red,533,64,103,215,-430,151,455.7422517169107
sample_00038.png,red,136,191,329,96,193,-95,215.11392330576837
sample_00039.png,red,419,79,264,152,-155,73,171.3300907604966
sample_00040.png,red,407,261,381,195,-26,-66,70.9365914038728
sample_00041.png,red,293,179,468,219,175,40,179.51323071016242
sample_00042.png,red,555,202,148,149,-407,-53,410.43635316574967
sample_00043.png,red,400,284,205,258,-195,-26,196.72569735548024
sample_00044.png,red,481,238,520,200,39,-38,54.45181356024793
sample_00045.png,red,259,250,387,157,128,-93,158.21820375671064
sample_00046.png,red,30,310,180,218,150,-92,175.96590578859303
sample_00047.png,red,290,286,105,183,-185,-103,211.74040710265956
sample_00048.png,red,121,161,328,264,207,103,231.2098613813866
sample_00049.png,red,228,254,276,266,48,12,49.47726750741192
sample_00050.png,red,467,105,498,249,31,144,147.29901561110313
sample_00051.png,red,63,140,143,146,80,6,80.22468448052632
sample_00052.png,red,91,42,392,219,301,177,349.1847648452034
sample_00053.png,red,549,330,134,195,-415,-135,436.4057744805859
sample_00054.png,red,409,320,473,81,64,-239,247.42069436488129
sample_00055.png,red,485,188,362,207,-123,19,124.45882853377658
sample_00056.png,red,334,112,443,190,109,78,134.03357788255897
sample_00057.png,red,238,69,446,226,208,157,260.6012279326404
sample_00058.png,red,162,46,192,155,30,109,113.05308487608819
sample_00059.png,red,479,188,448,215,-31,27,41.10960958218893
sample_00060.png,red,192,245,477,216,285,-29,286.4716390849188
sample_00061.png,red,335,195,145,215,-190,20,191.049731745428
sample_00062.png,red,152,209,85,202,-67,-7,67.36467917239716
sample_00063.png,red,528,64,305,176,-223,112,249.545587017683
sample_00064.png,red,277,184,206,188,-71,4,71.11258679024411
sample_00065.png,red,304,160,96,173,-208,13,208.40585404445815
sample_00066.png,red,397,111,141,147,-256,36,258.5188581129044
sample_00067.png,red,103,52,97,194,-6,142,142.12670403551894
sample_00068.png,red,551,113,430,270,-121,157,198.21705274773913
sample_00069.png,red,151,138,496,114,345,-24,345.83377510011945
sample_00070.png,red,519,269,177,196,-342,-73,349.7041606844277
sample_00071.png,red,414,76,353,95,-61,19,63.89053137985315
sample_00072.png,red,256,202,327,117,71,-85,110.75197515168747
sample_00073.png,red,355,86,212,199,-143,113,182.25805880673698
sample_00074.png,red,50,158,235,89,185,-69,197.44872752185566
sample_00075.png,red,534,38,218,246,-316,208,378.31204051681993
sample_00076.png,red,442,213,168,146,-274,-67,282.07268566807386
sample_00077.png,red,565,206,144,220,-421,14,421.2327147788975
sample_00078.png,red,327,183,176,223,-151,40,156.20819440733575
sample_00079.png,red,162,130,455,123,293,-7,293.08360581922693
sample_00080.png,red,137,174,270,127,133,-47,141.06027080648894
sample_00081.png,red,565,111,207,182,-358,71,364.97260171141613
sample_00082.png,red,204,160,185,261,-19,101,102.77159140540736
sample_00083.png,red,284,206,261,133,-23,-73,76.53757247260981
sample_00084.png,red,375,143,140,213,-235,70,245.20399670478457
sample_00085.png,red,142,213,323,112,181,-101,207.27276714513172
sample_00086.png,red,363,296,402,251,39,-45,59.54829972383762
sample_00087.png,red,254,268,103,86,-151,-182,236.48467180770933
sample_00088.png,red,462,284,148,87,-314,-197,370.6818042472546
sample_00089.png,red,221,311,358,220,137,-91,164.46884203398528
sample_00090.png,red,61,149,506,131,445,-18,445.36389615683936
sample_00091.png,red,153,22,234,265,81,243,256.1444904736387
sample_00092.png,red,562,110,210,117,-352,7,352.0695953927291
sample_00093.png,red,77,135,247,86,170,-49,176.92088627406318
sample_00094.png,red,60,45,140,162,80,117,141.73566946961517
sample_00095.png,red,45,234,477,159,432,-75,438.46208501990225
sample_00096.png,red,177,129,94,154,-83,25,86.68333173107735
sample_00097.png,red,554,213,289,135,-265,-78,276.24083695210595
sample_00098.png,red,333,48,191,233,-142,185,233.21449354617735
sample_00099.png,red,193,285,502,86,309,-199,367.535032343857
sample_00100.png,red,155,264,131,86,-24,-178,179.61069010501575
sample_00101.png,red,564,279,436,82,-128,-197,234.93190502781866
